name,categories,github_links_list
Synthetix Network Token,"['Synthetic Issuer', 'Derivatives', 'Governance', 'Yield Farming', 'Decentralized Finance (DeFi)', 'Decentralized Exchange Token (DEX)', 'Exchange-based Tokens']",https://github.com/Synthetixio/synthetix
Synthetix Network Token,"['Synthetic Issuer', 'Derivatives', 'Governance', 'Yield Farming', 'Decentralized Finance (DeFi)', 'Decentralized Exchange Token (DEX)', 'Exchange-based Tokens']",https://github.com/Synthetixio/synthetix-js
NEM,[],https://github.com/nemtech/nem2-sdk-typescript-javascript
NEM,[],https://github.com/nemtech/nem2-workshop-nem-applied-to-supply-chain
NEM,[],https://github.com/nemtech/nem2-cli
NEM,[],https://github.com/nemtech/nem2-scenarios
Pax Dollar,"['USD Stablecoin', 'Stablecoins']",https://github.com/paxosglobal/pax-contracts
XDC Network,"['Finance / Banking', 'Smart Contract Platform']",https://github.com/XinFinOrg/XDPoSChain
XDC Network,"['Finance / Banking', 'Smart Contract Platform']",https://github.com/xinfinorg/XinFin-Node
Marinade staked SOL,['Solana Ecosystem'],https://github.com/marinade-finance/
IoTeX,"['Internet of Things (IOT)', 'Polygon Ecosystem', 'Business Platform', None]",https://github.com/iotexproject/iotex-core
GateToken,"['Centralized Exchange Token (CEX)', 'Exchange-based Tokens']",
1inch,"['Avalanche Ecosystem', 'Polygon Ecosystem', 'Number', 'Binance Smart Chain Ecosystem', 'Automated Market Maker (AMM)', 'Decentralized Finance (DeFi)', 'Decentralized Exchange Token (DEX)', 'Exchange-based Tokens']",https://github.com/1inch-exchange/1inch-token
Secret,"['Cosmos Ecosystem', 'Smart Contract Platform', 'Privacy Coins']",https://github.com/scrtlabs/SecretNetwork
Bitkub Coin,[],https://github.com/bitkubchain/
Livepeer,[],https://github.com/livepeer/livepeerjs
Livepeer,[],https://github.com/livepeer/go-livepeer
Livepeer,[],https://github.com/livepeer/protocol
